,Twitter Handle,Compound Score,Positive Score,Neutral Score,Negative Score,Tweets Ago,Tweet Datetime,Tweet Text
82,@BBC,0.6597,0.243,0.669,0.088,83,2018-09-28 11:04:06+00:00,"What kind of snack would you be? 🤔

Kids asking Tom Hardy difficult questions is the best thing you'll see today. 😂❤️️

https://t.co/icghbuq7WN"
83,@BBC,0.0,0.0,1.0,0.0,84,2018-09-28 10:24:29+00:00,"RT @BBCWomansHour: The 🚨TOP 10🚨 #WomenInMusic on the #WHPowerList have been revealed! 🌟 Featuring the most iconic performers, heads of labe…"
84,@BBC,-0.296,0.0,0.872,0.128,85,2018-09-28 10:02:06+00:00,"❤️ This story of a missing 49-year-old father is the most moving thing you'll watch today. 

https://t.co/8CYggzS9Hj"
85,@BBC,0.5719,0.171,0.829,0.0,86,2018-09-28 09:40:18+00:00,"RT @bbcmusic: How are you celebrating #BBCMusicDay today? 

Here's 9 Things to watch out for, including @George_Ezra reading a bedtime stor…"
86,@BBC,-0.5994,0.0,0.738,0.262,87,2018-09-28 09:04:01+00:00,"How would you cope if you knew how you might die?

https://t.co/VbAFmeDCXQ"
87,@BBC,0.5859,0.202,0.798,0.0,88,2018-09-28 08:04:02+00:00,"Eggs as conditioner? 🥚🤷

Experts rate the beauty tips that our mums swore by. 👉 https://t.co/HGSuMbUNOj https://t.co/uoUg0LYfQp"
88,@BBC,0.3818,0.126,0.874,0.0,89,2018-09-28 07:32:06+00:00,"Are children getting too much homework in the UK? 📚🖍

Comedian @robdelaney says kids' workload is ""madness"". https://t.co/5CA1OgvC9T https://t.co/ASQiN6sUPp"
89,@BBC,0.6808,0.286,0.714,0.0,90,2018-09-28 07:01:05+00:00,"Here's some useful advice on how you can help hedgehogs at this time of year. 🦔

https://t.co/TKgF4H0ktl"
90,@BBC,0.2263,0.102,0.839,0.059,91,2018-09-27 17:02:07+00:00,"This is the quiz where you have to play the answer as well as say it. Famous faces battle it out, testing their skill and knowledge across all genres of music... 🎶

@garethmalone's All Star Music Quiz | 7pm | @BBCTwo | https://t.co/AQT3uesJ1U https://t.co/pO3552aEif"
91,@BBC,-0.128,0.0,0.936,0.064,92,2018-09-27 16:03:09+00:00,Got a bag of frozen peas lurking at the back of the freezer? Here are 7 things you can do with them. 😋🍴 https://t.co/FWSAhQNRlT https://t.co/ydaK3bC4sN
92,@BBC,-0.5574,0.0,0.806,0.194,93,2018-09-27 15:31:07+00:00,"John Cunliffe, creator of Postman Pat and Rosie and Jim, has died aged 85. https://t.co/OoHcAgZsu5 https://t.co/PEwPmaItNP"
93,@BBC,0.5719,0.171,0.829,0.0,94,2018-09-27 15:06:35+00:00,"Flying squirrels are secretive creatures but if you're lucky, you might meet one. Or two. Or three. 😮🐿

https://t.co/vx8aM2dHRt"
